Address|ProjectDescription|PermitNumber
1187 E 15TH AVENUE, Vancouver, BC V5T 2S7|"High Density Housing / Commercial - New Building - To construct a 2-storey Multiple Dwelling residential building containing three dwelling units (Building 1) and to construct a 2-storey One-Family Dwelling residential building with an attached 2-car garage (Building 2 under separate permit) and 2 surface at-grade parking, thereby having two principle buildings on this site with vehicular access from the lane.

******THIS PERMIT HAS BEEN ISSUED UNDER THE REQUIREMENTS OF VBBL 2014 AND REVIEWED DURING THE 2020 COVID-19 PANDEMIC CRISIS. ********

- See BP-2019-00968 for second principle building. 

Rev. #1 - C. Fong - Feb 11, 2021
- Remove crawlspace in the back two units of Building 1.
- Fire separation 'W4' filled with rock wool insulation.
- Building 1 (under this permit) to be sprinklered to NFPA 13D (instead of 13R) per 3.2.5.12(3)(c). 
- Change exterior cladding on all four elevations from Hardie Plank HZ5 to Hardie Shingle HZ5 Lap Siding.

Building Review Branch Notes:
- Sch-A, Geo. B, Struct. B & Arch. B are submitted. 
- Entire building is sprinklered to NFPA 13D requirements per 3.2.5.12(3)(c).
- All new windows, doors, and skylights shall conform to AAMA/WDMA/CSA101/I.S.2/A440, NAFS."|BP-2019-00967
1560 E 10TH AVENUE, Vancouver, BC|"High Density Housing / Commercial - New Building - To develop a two-storey plus basement multiple dwelling, containing a total of four dwelling units with common bicycle storage and a detached garage and one surface parking, providing a total of 4 of parking spaces having vehicular access lane.

To be reviewed under the 2019 VBBL.
To be sprinklered to NFPA 13R"|BP-2021-04746
1074 CARDERO STREET, Vancouver, BC V6G 2H3|"Certified Professional Program - New Building - The mixed-use building located at 1074 Cardero Street will occupy the north-east corner at the intersection of Cardero Street and Jepson-Young lane. The existing property consists of two houses which will be relocated on the property as part of a heritage restoration. The proposed work includes the reconstruction of the existing heritage houses and the construction of an addition to the east of the existing buildings that will tie the two heritage houses together. The building will have 5 dwelling units and one Commercial Retail shell unit. Related to AL-2021-0010 & AL-2021-00033.

Stage 1 - site prep, building relocation, selective demolition - accepted April 23/21
Stage 2 - full construction - accepted June 1/21
Stage 2 - revision #1 - accepted Nov.16/21"|BP-2020-03954
239 E 16TH AVENUE, Vancouver, BC V5T 2T5|"Certified Professional Program - New Building - To construct a 3 storey residential building with six dwelling on levels 1 - 3 (2 strata units and 4 rental units) each with direct exterior access.  There is 1 level of underground parking that contain storage rooms and building services and an amenity room. Building to be sprinklered to NFPA 13R.

Part 9 Building approved for CP Stream by Kelly Anderson per email sent September 13, 2021. To be reviewed under the 2019 VBBL.

Stage 1 - excavation and shoring - accepted Sept.28/22 Erv

Stage 2 - full construction - in process"|BP-2021-05613
729 E BROADWAY, Vancouver, BC V5T 1X8|"Certified Professional Program - New Building - To construct a new building located at 729 East Broadway which will be a 6 storey rental residential building with apartment suites on levels 2 - 6 above a commercial podium, part of which will involve retention & restoration an existing 3-storey South heritage facade, all located above a single level of partially below-grade parking (classified as ""storey, first"") that also contains resident storage, bike rooms and building services and which is accessed off a lane to the North of this site.

This is a CP Process Permit for which the 2019 VBBL applies and which has been reviewed during the Covid-19 pandemic. The  CP is Tavis McAuley, Architect, AIBC, CP. 

Stage1: Excavation & Shoring. May 4, 2021 (B. Smith)"|BP-2020-02694
1385 E 24TH AVENUE, Vancouver, BC V5V 2B6|"High Density Housing / Commercial - New Building - To construct (1) rowhouse multiple dwelling building ( Bldg. #1),  having three-storeys and three dwelling units , with attached single-car garages (3 total), having vehicular access off the North and East lanes and internal carriage courtyard. 

Bldg.#1 (Front Bldg.) 
     1377, 1381 and 1385 E. 24th Ave.

Bldg. #2 (Rear Bldg.) Primary Address 1365 E. 24th Av., Under separate BP-2021-06070
     1365, 1369, and 1373 E.24th Ave.

NOTE: ALL FILES AND DOCUMENTATIONS ARE FILED UNDER 1365 E. 24th Ave. (BP-2021-06070.)

Related to DP-2019-00797 and MA. DP-2022-00238
Note:  Consolidating lots 1349 + 1385 E 24th Av"|BP-2021-06071
3838 RUPERT STREET, Vancouver, BC V5M 2Z3|"Certified Professional Program - New Building - The project will be a six-storey mixed-use building with at-grade commercial uses and 98 secured market rental housing units above the 1st storey, plus 2 levels of below grade parking.  The project will be of non-combustible construction from below grade levels to level 2 slab and combustible construction above the level 2 slab.  The building will be sprinklered throughout and will be provided with a monitored fire alarm system.

** This is a CP process Permit and the applicant  is David Ho, CP **

Stage 1: Excavation & Shoring. June 25, 2019, B. Smith 
Stage 2: Foundation & Structure to ground level (originally submitted for Full Construction). Nov. 28, 2019, B. Smith 
Stage 3: Full Construction. March 23, 2020, B. Smith 

Revision #1 (Jan. 26, 2022):
Change of Registered Professional of Record (Mech & Plumb) from Jean-Sebastien Tessier to Omar Al Milli, effective November 27, 2021.

Revision #2 - (Sept. 22, 2022)
1) Relocate a parking space and relocate the cart return area to accommodate sanitary/storm connections and etc. 
2) Elevator machine split and general building storage added.
3) CRU demising wall removed  between CRU 2 & 3; future tenant space for  TI.
4) Wall type revised at stair #8 mid landing to cast in place concrete.
5) Mechanical Review Notes:
- Grease duct shafts proposed within all ground level CRUs (#1 - #6) through L2 - L6 to the roof."|BP-2018-02638
5189 CAMBIE STREET, Vancouver, BC V5Z 2Z6|"Certified Professional Program - New Building - To construct new 6-storey residential building consisting of 118 suites and 5 townhomes over 2 levels of underground parkade.

Stage I (excavation and foundation to grade) issued January 11, 2018.
Stage II (full structure) issued August 7, 2018.
Stage III (full construction) issued February 19, 2019."|BP-2017-02439
5209 CAMBIE STREET, Vancouver, BC V5Z 2Z6|"Certified Professional Program - New Building - Building Permit for BP-2017-02439.
To construct three 2-level townhomes"|BP-2018-06003
688 W 57TH AVENUE, Vancouver, BC V5X 1S9|"Certified Professional Program - New Building - Parcel C of Phase 1 of the Pearson Dogwood redevelopment.

Construct a multi-use 28 storey (27 storey per Zoning and Development Bylaw)  mixed -use building consisting of:

Level 1 to 4      - Retail units, Health Care Office (Community Health 
                         Centre) incl. a Therapy pool 
Level 2            - Child Daycare Facility 
Level 3            - Site inclusive residential amenity (Pool, Yoga, 
                         Gymnasium and Fitness) 
Level 5 to 7      -16 Pearson Supportive Housing units  (Community Care 
                        Facility Class A)
Levels 5 to 28   -148 strata market units (148 market rental housing + 
                         16 supportive units)

all over 5 levels of underground parking. 

27-Sep-2019 - Stage 1 (excavation and shoring) issued. 
NOTE:  HPO Form is  not provided. This permit was issued in the very last minute before DCL  increase. Some items are still in working progress. 

FOR SUSTAINABILITY REQUIREMENTS - check with Sailen at Stage 2 application ( tn. 17-Oct-2022)"|BP-2018-04675
2235 E BROADWAY, Vancouver, BC V5N 1W8|"Certified Professional Program - New Building - Construction of a new 6-storey wood-frame multi-family residential building consisting of 81 strata-titled units above a 2-storey underground parking garage. 

This is a staged construction CP Process Permit and the applicant is Jun Hyung Kim, P. Eng., CP

Stage 1: Excavation & Shoring, site services, foundation & storage garage (i.e. structural) up to grade). Aug. 26/21, B. Smith

Stage 2 (full BP) issued Febr. 10, 2022."|BP-2020-02833
2089 W 43RD AVENUE, Vancouver, BC V6M 2C8|"Certified Professional Program - New Building - To construct a 4 storey building with 1 dwelling unit and commercial shell space on ground floor and 16 dwelling units on the 2nd,3rd & 4th floor over two (2) levels of underground parking.

Addressing Note:
2089 W 43rd Av - residential lobby entrance 1st to 4th storey
2091 W 43rd Av - 1st storey retail SHELL
5860 West Boulevard - 1st storey retail SHELL

Revision #1, 17-May-2017 tn
Project description updated. 
Levels of underground parking changed from one (1) to two(2) as approved under DE419115. 

Stage 1 (Excavation and Shoring; Full Structure) - issued - 08-May-2017
Stage 2 (Full Construction)                                - issued - 22-Nov-2017

Revision#2, 11-June-2018 tn
1. As of  April 27, 2018,  Mr. John Burke will no longer be the Registered Professional of Record for  the Mechanical and Plumbing  disciplines. As of April 27, 2018 Mr. Kai Chen, P. Eng. will be assuming  responsibilities  as  the Registered Professional of Record for Mechanical  and Plumbing disciplines. Schedule B by Mr. Kai Chen, P. Eng. on file.
2. Change construction of cornices from steel stud and plywood substrate to pre-formed Dryvit Outsulation MD NC. This building is not required to be built of noncombustible construction."|BP-2016-04326
1795 W 16TH AVENUE, Vancouver, BC V6J 2L9|"Certified Professional Program - New Building - Interior and exterior alterations, relocation and addition of approximately 867 sq. ft., and conversion of the existing One-Family Dwelling into a four unit Multi-family residential Building 1 at 1795 W 16th Av.

*1785 W 16th Av is the Primary Site address for Fire and Emergency response - corresponding with the location of the annunciator panel*

All fees for the entire development on this site applied against this permit.

Addressing Note:
Building 1 (existing Building retained on site - 1795 W 16th Av is the Primary Building address0
1795 W 16th Av - south side 2nd & 3rd Level combined 
3176 Burrard St - south side 1st Level
3182 Burrard St - north side 1st Level
3188 Burrard St - north side 2nd & 3rd Level combined

27-Mar-2018 - Stage 1 (Full Structural) issued
17-Oct-2018 - Stage 2 (Full Construction) issued."|BP-2017-02097
1515 ALBERNI STREET, Vancouver, BC V1V 1V1|"Certified Professional Program - New Building - To construct a new 43 storey mixed-use building consisting of:
  Level 1 and Level 2 - double height café (restaurant) shell
  Level 3 to Level 42 - 202 residential strata units,
all over 8 (eight)  levels underground parking. 
 
Note: Due to the sloping site, Level P1 is the 1st storey. The total number of parking levels is nine (9).
 
The new tower is separated with a 2 Hr. firewall from the existing tower at 1500 W Georgia St. on this site. The  underground parking serving both towers is accessible from  Nicola St. and Cardero St.
This project was reviewed under the VBBL 2019.

27-Jul-2022 - Stage 1 (excavation and shoring) issued. 
Revised excavation and shoring drawings submitted to engineering. CP to apply for BP Revision. 24-Oct-22 tn"|BP-2018-04783
745 W 49TH AVENUE, Vancouver, BC|"Certified Professional Program - New Building - Related to Site BP-2021-05710
To construct a 3-storey multiple dwelling building (Building 8) containing 8 dwelling units with basement having access to one level of underground parking.

Refer to Site BP-2021-05710 for site work and underground parking, fees, and all documents. 

This is a CP Process Permit and the applicant is David Steer, P. Eng., CP.

Building to be sprinklered NFPA 13. 
ZEBP Building as per 10.2.1.5.

*REVIEWED UNDER VBBL 2019, WITH UPDATED ENERGY REQUIREMENTS AS PER BYLAW #12997 EFFECTIVE JAN 01, 2022*

STAGED CONSTRUCTION
Stage 1: Excavation & Shoring. (Mar 18/22, A. Min)
Stage 2: Full Construction (May 03/22, A. Min)"|BP-2021-06905
785 W 49TH AVENUE, Vancouver, BC V5Z 2S6|"Certified Professional Program - New Building - Related to Site BP-2021-05710
To construct a 3-storey multiple dwelling building (Building 6) containing 7 dwelling units with basement having access to one level of underground parking. 

Refer to Site BP-2021-05710 for site work and underground parking, fees, and all documents. 

This is a CP Process Permit and the applicant is David Steer, P. Eng., CP.

Building to be sprinklered NFPA 13. 
ZEBP Building as per 10.2.1.5.

*REVIEWED UNDER VBBL 2019, WITH UPDATED ENERGY REQUIREMENTS AS PER BYLAW #12997 EFFECTIVE JAN 01, 2022*

STAGED CONSTRUCTION
Stage 1: Excavation & Shoring. (Mar 18/22, A. Min)
Stage 2: Full Construction (May 03/22, A. Min)"|BP-2021-06903
108 E 35TH AVENUE, Vancouver, BC V1V 1V1|"Certified Professional Program - New Building - To develop a five-storey Multiple Dwelling building containing eighteen Dwelling Units and one level of underground parking having vehicular access via a shared access ramp from the adjacent property.

Stage#1 - excavation and shoring - issued 2017 Nov. 15
Stage#2 - Structure up to grade - issued 2018 Jan. 25
Stage#3 - Full construction - issued 2018 Apr. 09"|BP-2017-03751
5385 CAMBIE STREET, Vancouver, BC V1V 1V1|"Certified Professional Program - New Building - To construct  one 2-storey townhouse building  - Building 2 (B) containing 1 dwelling unit over 2 levels of common underground parking.  

Building Permit for BP-2017-01610.
All fees were paid under BP-2017-01610 (Site Permit).

23-Nov-2017  - Stage 1 (excavation and shoring) issued"|BP-2017-03484
4988 CAMBIE STREET, Vancouver, BC V5Z 2Z5|"Certified Professional Program - New Building - To construct 8-storey  (7 storey per Zoning and Development by-law) multi-residential dwelling highrise building consisting of 44 dwelling units with 3-levels of underground parking. 
NOTE: This Permit is related to BP-2017-00982 (4908 Cambie St.). 
The vehicular access to the underground parking is through the adjacent site (4908 Cambie St.). The Occupancy Permit for 4988 Cambie St. cannot be granted until the adjacent building with the access ( 4908 Cambie St) obtains the Occupancy Permit. 

STAGE 1.1(one-point-one) - issued 23-May-2017    
Earthwork removal only. To excavate the soil to expose surface bedrock, no blasting, drilling or any kind of work associated  with blasting.
Separate Blast Permit is required for blast work and drilling.

Revision #1 - 09-June-2017 tn To allow line drilling and pre-split drilling on this site as shown on Geotechnical Drawing G-A4, dated June 09, 2017.
Blast work is not permitted, incl. test blast. 


STAGE 1.2  (to Permit the Test Blast) - issued - 19-July-2017

STAGE 1.3 (Full Excavation, Shoring and Blasting) - issued August 8, 2017.


STAGE 2 (Full Structural) issued - 24-Nov-2017 tn.
STAGE 3 (Full Construction) issued - 20-July-2018 tn.
 
REVISION#2 - 05-Nov-2019 tn
Alterations to approved BP drawings to allow construction of a tunnel connecting 4998 Cambie St and 5048 Cambie St providing temporary vehicular access to 4988 Cambie St. Related to DP-2018-00670."|BP-2016-04096
188 E 49TH AVENUE, Vancouver, BC V5W 2G2|"Certified Professional Program - New Building - To construct a 6 storey mixed-use building consisting of:

1st storey - retail (shell)
2nd-6th storeys - 75 rental dwelling units

all over two (2) levels of underground parking with vehicular access from the lane.

Stage 1 (excavation and shoring) issued - 29-May-2017
Stage 2 (foundation and structure up to grade including main podium) issued - 10-Aug- 2017.
Stage 3 (full structural) issued - 16-Jan-2018.
Stage 4 (full construction) issued - 09-Apr-2018.


Revision#1 - 08-Mar-2019 tn

Structural upgrades for a RBC ( Royal Bank of Canada) vaults."|BP-2016-03078
695 E 19TH AVENUE, Vancouver, BC V5V 1K1|"Certified Professional Program - New Building - To construct a new 7-storey combustible mixed-use building consisting of:
1st  storey - retail and restaurant
2nd to 7th storey -104 secured market rental dwelling units,

all over two levels of below-grade parking, having vehicular access from the existing rear lane.
This site is provided with a permanent groundwater cut off wall/  dewatering system employing steel reinforced soldiers piles. 

Note: Combustible construction  for 7 storey building with Building Area of 2038 m2. allowed under AL-2020-00105.
26-Nov-2020 - Stage 1 (excavation and shoring) issued.
30-Apr-2021  - Stage 2 (Full Construction)  issued."|BP-2020-01576
633 W KING EDWARD AVENUE, Vancouver, BC|"Certified Professional Program - New Building - CONSTRUCTION of a new four-storey residential building with a two-storey townhouse block (three units) at the back over one level of underground parking accesses from the lane. This permit has been issued for all site work and below grade facilities including 1 levels common underground parking for the propose development:

Stage# 1 - Excavation and shoring only- issued 2017 Oct.20
Stage# 2 - full structural work up to roof - issued 2017 Nov.29
Stage #3 - Full construction - issued 2018 Mar.06

Building 1 - Front apartment building - BP-2018-00429
Building 2 - Rear townhouse building - BP-2018-00430

Revision #1 - Add 3 windows on the 2 level townhouses - issued 2019 Jan. 18
Revision # 2 - conversion of a mechanical room to storage and alterations to the landscape plan as approved  per DP-2019-00882 - issued 2019-11-19"|BP-2016-01795
4128 ASH STREET, Vancouver, BC|"Certified Professional Program - New Building - Construction of 2 residential structures (a 5 storey apartment building and a 5 unit townhouse cluster) all over a below grade common storage garage.  Rooftop amenity area over the apartment structure will include enclosed and unenclosed areas. NOTE: The CP has confirmed that 3.2.1.2.(1) will not be applied and that this has been designed as a single building.
 
** The 2019 VBBL applies to this Permit **  

Stage 1 - excavation and shoring - accepted July 11/22 - Erv"|BP-2020-02411
4081 ASH STREET, Vancouver, BC V1V 1V1|"Certified Professional Program - New Building - CONSTRUCTION of a new two-storey townhouse block (three units) at the back over one level of underground parking accesses from the lane. 
Sub-permit of BP-2016-01795

Stage# 1 - Excavation and shoring only- issued 2017 Oct.20
Stage# 2 - full structural work up to roof - issued 2017 Nov.29
Stage #3 - Full construction - issued 2018 Mar.06

Building 1 - Front apartment building - BP-2018-00429
Building 2 - Rear townhouse building - BP-2018-00430

See BP-2016-01795 for details"|BP-2018-00430
5089 QUEBEC STREET, Vancouver, BC V5W 2N3|"Certified Professional Program - New Building - 

To construct a six-storey multiple dwelling building containing 43 dwelling units with underground parking accessed from the lane. 

Stage I (excavation/shoring) issued  September 7, 2017-M.Vitkovic.
Stage II (full construction) issued November 16, 2017."|BP-2016-02188
1180 COMOX STREET, Vancouver, BC V6E 1K5|Certified Professional Program - New Building - Full Construction for a new 3 storey - 6 unit residential building.|BP-2016-01922
3050 KINGSWAY, Vancouver, BC V5R 5J7|"Certified Professional Program - New Building - To construct a 4-storey mixed-use building consisting:
1st storey - 2 retail units (shell)
2nd to 4th storeys - 21 dwelling units 
all over 1 level of underground parking having vehicular access from the lane.

Separate tenant improvement permits are required for the tenant shell spaces.

This is a CP process, the CP is Ron Bijok, Architect.
This permit has been reviewed under the 2014 Vancouver Building By-law (#10908).  Reviewed during the 2020 pandemic crisis.

STAGED CONSTRUCTION
Stage 1 - Excavation and Shoring (issued May 7, 2020)
Stage 2 - Full Structure (issued June 12, 2020)
Revision #1 - Change roof framing from dimensional lumber to TJI (issued November 13, 2020)
Stage 3 - Full Construction (issued May 26, 2021)"|BP-2019-03563
3601 RAE AVENUE, Vancouver, BC V5R 2P6|"Certified Professional Program - New Building - To construct 4-storey stacked townhouses containing 26 dwelling units, all over 2 levels of underground storage garage having access from a Lane. NOTE: Several months after the intake meeting the site address was changed to 3601 Rae Avenue (originally submitted as 3633 Rae Av).

This is a CP Process Permit and the applicant is Susana Chui, CP (Camphora Engineering Ltd.)

******THIS PERMIT HAS BEEN ISSUED UNDER THE REQUIREMENTS OF VBBL 2014********

Stage 1: Excavation & Shoring. (Sept. 11/19, B. Smith)
Stage 2: Full structural to roof. (March 23/20, B. Smith)
Stage 3: Full Construction. (Jan. 25/21, B. Smith)

Stage 3 - REVISION #1 (Sep 03/2021) : 1 hour rated floor assembly types L1, L2, and L3 will now use POSI-Strut web floor joists. ASTM, CAN/ULC, NFPA, and UBC test data sheet is attached to revised sheet A502 of the Architect`s drawings.

Stage 3 - REVISION #2 (IN PROCESS): 
- Built up false chimney for pipe encasement on west elevation of 3635 Rae Av.
- Changed cladding from Lux Panel Cladding to Hardie Lap Sidings. 
- Updated drainage, plumbing, & HVAC drawings."|BP-2018-03802
439 W KING EDWARD AVENUE, Vancouver, BC V5Y 2J3|"Certified Professional Program - New Building - To construct a 2 storey, 3 dwelling units (East) townhouses behind the 5 storey MCD.

Refer to BP-2019-04306 for site work, below grade facilities and common underground parking.
 
VBBL 2014 

Reviewed during the 2020 pandemic crisis."|BP-2020-02982
431 W KING EDWARD AVENUE, Vancouver, BC V5Y 2J3|"Certified Professional Program - New Building - To construct a 5 storey, 38 multiple dwelling building and 2 - 3 dwelling units, 2 storey townhouses behind the multiple dwelling building for a total of 44 market rental units over a 42 vehicles underground parking with a share access ramp to the west neighbouring site. 

5 storey (multiple dwelling building) is under BP-2020-02981.
2 storey, 3 dwelling units East is under BP-2020-02982.
2 storey, 3 dwelling units West is under BP-2020-02983.
 
VBBL 2014 

Reviewed during the 2020 pandemic crisis.

STAGED 1 - Excavation and Shoring issued on Oct. 16th, 2020.
STAGED 2 - Full Construction issued on May 20, 2021."|BP-2019-04306
5733 ALBERTA STREET, Vancouver, BC V5Y 4B2|"Certified Professional Program - New Building - To construct a 6-storey  building containing 57 dwelling units all over 2 levels of underground parking having vehicular access from the lane on this site.

Stage I (excavation/shoring) issued January 15, 2019.
Stage II (foundation to grade) issued April 10, 2019.
Stage III (full construction) issued July 10, 2019."|BP-2018-00597
288 W KING EDWARD AVENUE, Vancouver, BC V1V 1V1|"Certified Professional Program - New Building - Site permit - To construct two 4 storey wood frame residential structures and three 2 storey townhome style units with a fourth combined amenity/residential building above one level of below grade parking. 

Stage # 1 - Excavation and shoring - issued 2017 June 08
Stage #2 - Full structural work up to roof- issued 2017 July 26
stage #3 - Full construction - issued 2017 Nov. 24

Building 1 (E) - 288 W King Edward Av - BP-2017-06082
Building 2 (W) - 4118 Yukon St - BP-2017-06083
Building 3 (TH) - 4128 Yukon St - BP-2017-06084
Building 4 (TH/Amenity) - 318 W King Edward Av - BP-2017-06085

Revision #1 - Change of Addresses - issued 2019 Feb. 20"|BP-2017-01830
3198 RIVERWALK AVENUE, Vancouver, BC|"Certified Professional Program - New Building - To construct a new seven storey residential Building  2 consisting of 65  strata units  over 2 levels of underground parking.

Note : East  Tower  - Building  2 (""B"")  
Related to BP-2017-04521 - Site Permit
 
21-Dec-2017 - Stage 1 (Excavation and Shoring) issued.
29-Aug-2018 - Stage 2 (Full Structure) issued.
26-Apr-2019  - Stage 3 (Full Permit)  issued. 

Note: The following documents must be provided prior to the  application for Occupancy Permit:
1. A comprehensive Flood Safety plan.
2. A post-event plan to inform and  direct the owners of the building about components or areas of the building that require investigation and potential restoration work.
Updated professional letters regarding Confirmation of Flood Plain Design on file. 


Revision#1  - 23-Oct-2019 tn
As of September 21, 2019, Mr. Mike Dixon  will no longer be the Registered Professional of Record for Mechanical and Plumbing disciplines for this project.
As of September 21, 2019 Mr. E. Zander  Eng. L., swill undertake  responsibility as the Registered Professional of Record for Mechanical and Plumbing 
disciplines. 
Outgoing EOR Letter, Incoming EOR Letter, and Schedule B by E. Zander on file."|BP-2018-04680
212 E 28TH AVENUE, Vancouver, BC V5V 2M4|"Certified Professional Program - New Building - To construct a 4-storey mixed-use building consisting:
1st storey - 4 retail units and one restaurant class 1 (shell only)
2nd to 4th storeys - 21 rental dwelling units 
all over 2 levels of underground parking having vehicular access from the lane.

Separate tenant improvement permits are required for all shell tenant spaces.

This permit has been reviewed under the 2014 Vancouver Building By-law (#10908).  Reviewed during the 2020 pandemic crisis.

Related to DP-2017-00999 and M/A DP-2019-00231.

STAGED CONSTRUCTION

Stage 1 - Excavation, Shoring and Foundation to 2nd Floor Slab (issued December 20, 2019)
Stage 2 - Full Construction (issued September 21, 2020)
Revision #1 - Revised Structural plans to match architectural drawing: Relocation of CRU wall to accommodate the future routing of the kitchen exhaust shaft and update walls to match Architectural background on Level P1 (issued October 8, 2020)
Revision #2 - Change noncombustible setback wall to combustible construction as permitted by AL-2020-00087 (issued December 22, 2020)
Revision #3 - Combine 4 commercial units and to perform a change of major occupancy from retail and restaurant - class 1 to financial institution, per M/A DP-2021-00122. (issued February 28, 2022)"|BP-2018-04624
889 PACIFIC STREET, Vancouver, BC V1V 1V1|"Certified Professional Program - New Building - This Permit has been issued for all site work and all below grade facilities including underground parking levels for the proposed development:

To construct a  new 39 storey market residential building comprising of 214 dwelling units, all over 8 levels of underground parking, accessed off of the lane; and to restore the existing Heritage house (Leslie House) and convert to a commercial strata unit.

Building 1  -existing heritage building (Leslie House) retained and temporary relocated to 801 Pacific Street site.

Building 2 (39 storey residential tower)

29-Mar-2018 Stage 1 (excavation and shoring) issued.
Stage 2 (full construction-new building only). This permit does not include the heritage building. Issued October 1, 2018.

Stage 3 (issued July 19, 2019) includes:
- residential tower revision (number of suites changed to 224)
-relocation of the heritage house and applicable upgrades. 

Change of building envelope EoR: Jameson Vong replaced David Fookes
as of Febr. 19, 21."|BP-2017-03246
528 W KING EDWARD AVENUE, Vancouver, BC V1V 1V1|"Certified Professional Program - New Building - To construct a new 70 unit multi-family strata residential development with two levels of underground parking. The development will consist of one 6-storey tower with a block of 2 storey townhouses. 

All fees for the entire development on this site applied against this permit.
Related Building Permits:
BP-2017-04245 - Building 1 ( 66 units, Multiple Dwelling building at front of site); primary building address -  528 W King Edward Av – residential lobby 1st – 6th storey 

BP-2017-04248 - Building 2 (4 units, Multiple Dwelling-townhouse building at rear of site);  primary building address - 530 W King Edward Av.

24-Oct-2017  - Stage 1(excavation and shoring) issued.
11-Jan-2018  - Stage 2 (foundation to grade- structural only) issued.
16-May-2018 - Stage 3 (full construction) issued."|BP-2017-01273
204 W 15TH AVENUE, Vancouver, BC V5Y 1X9|"High Density Housing / Commercial - New Building - To construct a 3 storey multi-dwelling building containing 3 dwelling units ($1,165,947.00) and providing three on grade parking spaces having vehicular access from the lane. 

Building envelope and environmental separation as per Part 5 design: 
Schedule A, Julio Reynel-Gracia, P.Eng. (778.998.0709)
Schedule B (Architectural) Julio Reynel-Gracia, P.Eng (778.998.0709); 
Schedule B (Structural), Henry S.N. Hsu, P.Eng (604.322.7158); 
Schedule B (Geotechnical), Ivan Chu, P.Eng (604.299.6617)
Schedule D (Commitment for Building Envelope Professional Review), Julio Reynel-Gracia, P.Eng (778.998.0709) provided for this project. 

Building Review Branch Notes:
1. Three-unit multi-dwelling building to be sprinklered to NFPA 13D
2. This permit has been reviewed under the requirements of the VBBL #12511 (2019)"|BP-2021-03949
1371 W 11TH AVENUE, Vancouver, BC V6H 1K7|High Density Housing / Commercial - New Building - To construct on this site a multiple dwelling residential building containing 3 storeys above ground and 2 storeys below grade containing 13 secured market rental units and eight underground parking spaces having vehicular access from lane. Included with the project is providing one parking at grade at the rear of the site having vehicular access from the lane.|BP-2018-02135
530 W 28TH AVENUE, Vancouver, BC V5Z 2H1|"Certified Professional Program - New Building - Building 3 - To Construct one - 3 storey multiple dwelling townhouse containing 8 dwelling units.

Refer to 2019-01517 for site work, below grade facilities and common underground parking.

VBBL 2014 - Reviewed during the 2020 pandemic crisis."|BP-2021-00196
520 W 28TH AVENUE, Vancouver, BC V5Z 2H1|"Certified Professional Program - New Building - To construct eight (8) multiple 3 storey dwelling townhouses; a total of fifty-eight (58) market dwelling units, over 1 level of underground parking having vehicular access connecting through adjacent site's underground parking and ramp from rear lane, including:

(22) 1-bedroom units (L1 of stacked townhouses facing streets)
(22) 2-bedroom units (L2+3 of stacked townhouses facings streets)
(15) 3-bedroom units (rowhouses facing lane)

Building 1 is under BP-2021-00194.
Building 2 is under BP-2021-00195.
Building 3 is under BP-2021-00196.
Building 4 is under BP-2021-00197.
Building 5 is under BP-2021-00198.
Building 6 is under BP-2021-00199.
Building 7 is under BP-2021-00200.
Building 8 is under BP-2021-00201.

VBBL 2014 - Reviewed during the 2020/21 pandemic crisis. 

STAGE 1 for Excavation & Shoring issued on Feb. 25, 2021.
STAGE 1 - Rev. 1 - Excavation & Shoring to accommodate larger detention tank required for final rain water management plan issued on Apr. 21, 2021.
STAGE 2 for Full Construction issued on Oct. 13th 2021.
STAGE 2 - Rev. 2 (Jan. 25, 2022)- Revised the Terms for this permit.
STAGE 2 - Rev 3 (________) - To combine two units into one unit for Building __and total units from 59 to 58."|BP-2019-01517
550 W 28TH AVENUE, Vancouver, BC V5Z 2H1|"Certified Professional Program - New Building - Building 5 - To Construct one - 3 storey multiple dwelling townhouse containing 5 dwelling units.

Refer to 2019-01517 for site work, below grade facilities and common underground parking.

VBBL 2014 - Reviewed during the 2020 pandemic crisis."|BP-2021-00198
5005 ASH STREET, Vancouver, BC V5Z 3G3|"Certified Professional Program - New Building - To construct two new 4-storey wood frame buildings over 2 levels of a new below ground storage garage. This Project Site permit is for all below grade work, including site services and the storage garage with parking for 69 vehicles having access from a lane, and which also includes Service Rooms/Amenity Rooms.  

NOTE: The 2019 VBBL applies to this application which has been reviewed during the Covid-19 Pandemic.

This is a staged construction CP Process permit and the applicant is Susana Chui, P. Eng., CP, of Camphora Engineering ltd.

Stage 1: Excavation & Shoring. (Aug. 25/21. B. Smith)
Stage 2: Foundation & Full Structural to Roof. (Sept. 15/21. B. Smith)
Stage 3: Full Construction issued on Oct. 11, 2022.

Related:
BP-2021-02113: Bldg. 1 (South) at 5007 Ash St
BP-2021-02114: Bldg. 2 (North) at 5005 Ash St"|BP-2021-00055
